Shipment_ID,Origin_City,Destination_City,Carrier,Transport_Mode,Distance_KM,Weight_KG,Delivery_Time_Days,Shipping_Cost_INR,On_Time,Distance_KM_norm,Weight_KG_norm,Delivery_Time_Days_norm,Shipping_Cost_INR_norm
SHIP100360,Pune,Mumbai,Delhivery,Air,407.0,126.36,4.76,5237.41,Yes,0.41414735940927827,0.5817439324330596,0.4340848299579671,0.5147201982784172
SHIP100155,Delhi,Delhi,Dtdc,Road,555.9,49.37,5.6,5025.84,Yes,0.5734924287013752,0.22446517239779107,0.5196790217806648,0.4925620719738506
SHIP100368,Delhi,Pune,Delhivery,Road,629.7,78.6,5.37,6797.92,Yes,0.6524693670073307,0.36010951784305534,0.49624251687683096,0.6781553624299476
SHIP100328,Mumbai,Bangalore,Dtdc,Air,821.3,84.61,7.84,7129.13,Yes,0.8575097651024668,0.38799944312961154,0.7479301999745255,0.7128436122448338
SHIP100340,Bangalore,Bangalore,Bluedart,Rail,554.3,101.01,5.29,6622.83,Yes,0.5717801915565306,0.464105062879948,0.48809068908419306,0.6598178555307341
SHIP100426,Bangalore,Mumbai,Dtdc,Road,260.3,55.99,2.9,2782.59,Yes,0.25715661619134256,0.2551858554921342,0.2445548337791364,0.2576222561553551
SHIP100253,Chennai,Bangalore,Ekart,Road,609.1,27.42,6.81,4537.47,Yes,0.6304243137674569,0.12260429718316396,0.6429754171443127,0.44141415807603324
SHIP100378,Kolkata,Pune,Delhivery,Road,954.4499999999998,34.29,10.31375,9870.953749999999,Yes,1.0,0.15448512692004268,1.0,1.0
SHIP100359,Mumbai,Hyderabad,Dtdc,Road,548.4,27.67,5.74,5502.3,Yes,0.5654663170849163,0.12376444382569957,0.5339447204177812,0.542462629042782
SHIP100115,Delhi,Chennai,Delhivery,Road,96.1,45.27,3.35,1525.03,Yes,0.08143827920166945,0.20543876746020698,0.29040886511272446,0.1259156185622615
SHIP100466,Kolkata,Bangalore,Ekart,Road,339.9,111.11,5.09,3774.49,Yes,0.34234041414735944,0.5109749872383869,0.46771111960259837,0.3615058194275564
SHIP100051,Mumbai,Pune,Dtdc,Road,554.3,103.81,8.53,6633.32,No,0.5717801915565306,0.4770987052763469,0.8182397146860272,0.6609164930735564
SHIP100271,Chennai,Pune,Bluedart,Air,656.8,201.74,7.68,7872.48,Yes,0.6814703836481354,0.9315513480903986,0.7316265443892497,0.7906960638613183
SHIP100496,Bangalore,Kolkata,Delhivery,Road,498.1,44.53,5.61,4804.1,Yes,0.5116378618438655,0.20200473339830155,0.5206980002547447,0.4693388223317719
SHIP100264,Hyderabad,Kolkata,Bluedart,Air,534.0,90.45,5.56,6470.49,Yes,0.5500561827813153,0.4151004686992436,0.5156031078843458,0.6438629991652869
SHIP100060,Pune,Pune,Ekart,Road,418.9,163.81,6.46,5908.04,Yes,0.42688212317405966,0.7555338994848949,0.6073111705515221,0.5849565467381775
SHIP100263,Pune,Hyderabad,Xpressbees,Road,205.8,192.97,3.9,4665.3,Yes,0.1988335384450747,0.8908534038702491,0.34645268118710987,0.4548020357785088
SHIP100164,Mumbai,Bangalore,Bluedart,Air,308.7,70.55,4.75,5136.31,Yes,0.3089517898228905,0.3227527959534085,0.4330658514838874,0.5041318040382523
SHIP100204,Pune,Mumbai,Ekart,Air,435.1,216.49,6.62,7320.32,Yes,0.4442185242656109,1.0,0.6236148261367979,0.7328673025987125
SHIP100422,Delhi,Pune,Delhivery,Road,446.5,172.33,2.86,6511.48,Yes,0.4564182139226284,0.7950716970625087,0.24047891988281744,0.6481559594017295
SHIP100132,Pune,Hyderabad,Delhivery,Rail,482.6,20.32,9.02,3620.17,No,0.4950505645031838,0.08965613253515244,0.8681696599159342,0.3453435939167528
SHIP100451,Pune,Pune,Bluedart,Road,583.6,128.31,7.92,7581.55,No,0.6031355342714968,0.5907930762448373,0.7560820277671634,0.7602264146398428
SHIP100212,Bangalore,Mumbai,Xpressbees,Rail,409.2,15.32,3.99,3231.92,Yes,0.4165016854834395,0.0664531996844401,0.35562348745382755,0.3046814370053382
SHIP100082,Chennai,Mumbai,Delhivery,Road,812.4,61.22,7.57,8012.67,Yes,0.847985445984269,0.2794561232539793,0.7204177811743727,0.8053784277438971
SHIP100442,Mumbai,Chennai,Xpressbees,Road,332.3,147.41,3.3,5136.31,Yes,0.3342072877093478,0.6794282797345584,0.2853139727423258,0.5041318040382523
SHIP100355,Bangalore,Mumbai,Bluedart,Rail,445.9,81.19,3.87,4388.68,Yes,0.45577612499331166,0.3721286370597243,0.3433957457648707,0.42583109992574514
SHIP100238,Hyderabad,Pune,Xpressbees,Road,587.9,30.85,6.66,5822.75,Yes,0.6077371715982665,0.1385215091187526,0.6276907400331168,0.5760239637041157
SHIP100168,Bangalore,Kolkata,Delhivery,Rail,290.3,22.15,4.82,2459.68,Yes,0.2892610626571781,0.09814840595851315,0.44019870080244555,0.22380328104069983
SHIP100300,Delhi,Mumbai,Dtdc,Road,397.5,17.85,6.52,3443.13,No,0.4039809513617637,0.07819388370690056,0.6134250413960004,0.32680185982893095
SHIP100030,Hyderabad,Bangalore,Delhivery,Air,478.9,216.49,5.23,8312.91,Yes,0.4910910161057307,1.0,0.4819768182397147,0.8368231308761138
SHIP100022,Kolkata,Pune,Ekart,Air,411.6,70.405,5.395,5088.24,Yes,0.4190700412007064,0.32207991090073784,0.4987899630620302,0.49909734200932326
SHIP100261,Mumbai,Mumbai,Dtdc,Road,224.2,87.43,3.19,3481.19,Yes,0.2185242656107871,0.40108589725741334,0.2741052095274487,0.3307879556230029
SHIP100031,Pune,Kolkata,Ekart,Road,450.5,156.67,3.97,7046.45,Yes,0.4606988067847398,0.7224001113740776,0.35358553050566804,0.7041843794478325
SHIP100362,Bangalore,Kolkata,Xpressbees,Road,379.5,127.0,5.58,5136.31,Yes,0.3847182834822624,0.5847139078379507,0.5176410648325054,0.5041318040382523
SHIP100052,Pune,Chennai,Bluedart,Road,471.5,29.25,5.6,4610.39,Yes,0.48317191931082465,0.13109657060652466,0.5196790217806648,0.44905120761107603
SHIP100482,Delhi,Pune,Ekart,Road,421.2,216.49,5.36,7921.5,Yes,0.42934346406977375,1.0,0.49522353840275124,0.7958300211872618
SHIP100321,Bangalore,Hyderabad,Dtdc,Road,297.7,216.49,4.15,7605.23,Yes,0.29718015945208415,1.0,0.3719271430391033,0.7627064658327914
SHIP100244,Bangalore,Pune,Xpressbees,Air,409.2,17.18,6.79,3881.64,No,0.4165016854834395,0.0750846907049051,0.6409374601961533,0.3727278416118657
SHIP100237,Hyderabad,Chennai,Delhivery,Rail,504.3,86.56,5.48,4722.27,Yes,0.5182727807801382,0.3970485869413894,0.507451280091708,0.46076861164262556
SHIP100056,Mumbai,Mumbai,Bluedart,Road,445.1,53.33,5.4,4475.25,Yes,0.4549200064208894,0.24284189521555521,0.4992994522990702,0.43489773978104757
SHIP100364,Delhi,Delhi,Dtdc,Road,740.8,47.94,8.0,7103.22,Yes,0.7713628337524748,0.21782913360248735,0.7642338555598013,0.7101300089336303
SHIP100002,Chennai,Mumbai,Dtdc,Air,700.2,126.9,9.8,8990.24,No,0.7279148162020441,0.5842498491809365,0.9476499808941536,0.9077611830095548
SHIP100058,Bangalore,Hyderabad,Bluedart,Road,370.2,95.13,5.88,4510.81,Yes,0.37476590507785335,0.4368184138475103,0.5482104190548974,0.4386220058461342
SHIP100369,Bangalore,Pune,Bluedart,Road,372.3,19.36,4.26,3858.8,Yes,0.37701321633046186,0.08520116942781567,0.38313590625398036,0.37033576520785616
SHIP100431,Kolkata,Pune,Xpressbees,Air,419.6,37.4,5.41,4240.39,Yes,0.4276312269249292,0.16891735115318574,0.5003184307731499,0.41030040772125403
SHIP100341,Hyderabad,Hyderabad,Ekart,Road,508.6,20.82,6.91,5113.99,Yes,0.5228744181069079,0.09197642582022367,0.6531652018851102,0.5017941882178717
SHIP100293,Pune,Pune,Delhivery,Road,306.1,31.74,4.43,2747.9,Yes,0.30616940446251817,0.1426516311661794,0.40045854031333583,0.25398910683595527
SHIP100074,Chennai,Hyderabad,Dtdc,Road,583.6,100.2,5.66,7246.73,Yes,0.6031355342714968,0.46034618775813263,0.5257928926251433,0.7251600826963016
SHIP100324,Mumbai,Pune,Dtdc,Air,389.7,2.37,3.45,3436.64,Yes,0.39563379528064646,0.006357603601095179,0.30059864985352186,0.3261221498524851
SHIP100303,Delhi,Kolkata,Xpressbees,Air,436.0,60.65,7.24,4580.78,No,0.44518165765958595,0.2768109889089981,0.6867914915297414,0.44595009630097426
SHIP100414,Pune,Hyderabad,Dtdc,Road,281.6,216.49,3.11,5629.67,Yes,0.2799507731820858,1.0,0.2659533817348108,0.5558023300751243
SHIP100409,Delhi,Pune,Xpressbees,Road,371.6,106.53,4.03,5412.28,Yes,0.37626411257959236,0.48972110074713443,0.3596994013501465,0.5330346641614797
SHIP100080,Bangalore,Hyderabad,Xpressbees,Road,532.8,28.23,4.25,5136.31,Yes,0.5487720049226819,0.12636317230497934,0.38211692777990064,0.5041318040382523
SHIP100306,Pune,Pune,Xpressbees,Road,503.8,75.37,4.51,4568.23,Yes,0.5177377066723743,0.3451204232214952,0.40861036810597373,0.4446357110614682
SHIP100026,Kolkata,Bangalore,Xpressbees,Rail,339.6,61.56,3.57,4117.09,Yes,0.34201936968270114,0.28103392268782773,0.31282639154247865,0.39738696548769975
SHIP100305,Mumbai,Mumbai,Dtdc,Rail,954.4499999999998,38.75,10.31375,8233.35,Yes,1.0,0.17518214302287807,1.0,0.8284906615808861
SHIP100462,Kolkata,Delhi,Xpressbees,Road,337.9,56.5,3.96,4091.56,Yes,0.34020011771630376,0.25755255464290683,0.3525665520315883,0.394713160295302
SHIP100120,Kolkata,Pune,Xpressbees,Road,505.3,15.82,6.85,3759.18,Yes,0.519342928995666,0.06877349296951134,0.6470513310406317,0.3599023741672505
SHIP100347,Bangalore,Pune,Delhivery,Air,687.2,216.49,5.7,8847.58,Yes,0.7140028894001821,1.0,0.5298688065214622,0.8928201313547386
SHIP100459,Pune,Bangalore,Dtdc,Air,549.3,156.52,6.73,6852.61,Yes,0.5664294504788914,0.7217040233885563,0.6348235893516749,0.6838831495812295
SHIP100159,Chennai,Delhi,Bluedart,Road,530.0,216.49,4.89,7762.86,Yes,0.5457755899192039,1.0,0.4473315501210036,0.7792153539047715
SHIP100389,Bangalore,Chennai,Bluedart,Road,482.3,20.27,5.49,5136.31,Yes,0.49472952003852544,0.08942410320664532,0.5084702585657878,0.5041318040382523
SHIP100050,Pune,Bangalore,Dtdc,Air,447.2,125.67,5.395,6497.43,Yes,0.45716731767349783,0.5785419276996612,0.4987899630620302,0.6466844763248324
SHIP100429,Mumbai,Bangalore,Ekart,Road,757.9,54.34,7.4,6543.03,Yes,0.7896623682380011,0.24752888765139913,0.7030951471150172,0.6514602505815238
SHIP100294,Mumbai,Hyderabad,Ekart,Road,954.4499999999998,44.8,10.31375,9870.953749999999,Yes,1.0,0.20325769177223998,1.0,1.0
SHIP100014,Bangalore,Pune,Dtdc,Road,461.6,119.39,4.49,4888.92,Yes,0.47257745197709894,0.5493990440391665,0.4065724111578143,0.47822218137678457
SHIP100418,Delhi,Delhi,Dtdc,Road,516.1,133.56,7.25,6802.57,Yes,0.5309005297233668,0.6151561557380852,0.6878104700038211,0.6786423657258601
SHIP100447,Mumbai,Bangalore,Delhivery,Road,621.5,70.405,6.02,5698.64,Yes,0.6436941516400023,0.32207991090073784,0.5624761176920137,0.5630256886383702
SHIP100114,Mumbai,Kolkata,Ekart,Air,261.9,60.29,2.95,3148.76,Yes,0.2588688533361871,0.2751403777437468,0.2496497261495351,0.2959719329003717
SHIP100145,Mumbai,Delhi,Bluedart,Rail,133.1,37.02,3.32,1690.71,Yes,0.12103376317619992,0.16715392825653164,0.28735192969048523,0.14326759836157427
SHIP100003,Delhi,Pune,Ekart,Road,550.4,149.28,5.09,6377.5,Yes,0.5676066135159721,0.6881061766207248,0.46771111960259837,0.6341239805659503
SHIP100384,Bangalore,Kolkata,Bluedart,Air,472.7,16.51,4.15,3850.85,Yes,0.48445609716945803,0.07197549770290965,0.3719271430391033,0.3695031466696829
SHIP100059,Kolkata,Pune,Delhivery,Road,290.7,82.77,5.27,3806.69,Yes,0.2896891219433892,0.3794607638405494,0.48605273213603356,0.3648781863368869
SHIP100396,Mumbai,Hyderabad,Dtdc,Road,571.1,29.68,7.11,4435.72,Yes,0.5897586815773986,0.13309202283168592,0.6735447713667049,0.4307576881063322
SHIP100165,Mumbai,Delhi,Dtdc,Road,566.7,69.94,5.86,5955.12,Yes,0.5850500294290761,0.3199220381456216,0.546172462106738,0.5898873241944285
SHIP100222,Hyderabad,Mumbai,Bluedart,Road,508.2,142.38,5.32,5575.9,Yes,0.5224463588206968,0.6560861292867418,0.4911476245064323,0.5501708962641088
SHIP100098,Hyderabad,Mumbai,Delhivery,Air,391.9,79.52,6.38,4551.1,No,0.3979881213548077,0.3643788574875864,0.5991593427588842,0.44284165375846113
SHIP100469,Hyderabad,Delhi,Xpressbees,Road,325.4,37.58,4.17,2936.17,Yes,0.3268232650222056,0.16975265673581139,0.37396509998726274,0.27370698006637906
SHIP100040,Hyderabad,Bangalore,Dtdc,Rail,239.4,95.77,4.52,3331.16,Yes,0.23479051848681048,0.4397883892524015,0.4096293465800534,0.315075029927138
SHIP100249,Mumbai,Delhi,Dtdc,Air,401.2,77.38,4.19,4817.84,Yes,0.4079404997592167,0.3544480022274815,0.37600305693542224,0.47077783852227495
SHIP100041,Mumbai,Bangalore,Delhivery,Air,125.6,76.63,2.68,2331.6,Yes,0.11300765155974105,0.3509675622998747,0.22213730734938225,0.21038922036532576
SHIP100395,Mumbai,Mumbai,Xpressbees,Rail,406.6,70.405,3.88,7060.54,Yes,0.4137193001230671,0.32207991090073784,0.3444147242389504,0.7056600518003936
SHIP100193,Mumbai,Hyderabad,Xpressbees,Rail,449.4,71.82,5.48,5178.82,Yes,0.45952164374765914,0.3286463408974894,0.507451280091708,0.5085839567499181
SHIP100206,Pune,Mumbai,Bluedart,Road,722.4,99.69,5.77,8327.71,Yes,0.7516721065867624,0.45797948860735993,0.5370016558400204,0.8383731628717066
SHIP100079,Hyderabad,Mumbai,Xpressbees,Rail,314.4,50.98,4.89,3065.46,Yes,0.31505163465139924,0.2319365167757204,0.4473315501210036,0.287247766330582
SHIP100028,Bangalore,Kolkata,Xpressbees,Road,380.1,23.76,3.14,3608.24,Yes,0.3853603724115791,0.10561975033644252,0.26901031715705004,0.344094142450035
SHIP100491,Bangalore,Bangalore,Xpressbees,Road,439.1,59.58,3.35,3826.28,Yes,0.4484991171277223,0.27184556127894566,0.29040886511272446,0.3669298840932156
SHIP100499,Pune,Hyderabad,Xpressbees,Road,611.1,70.405,5.92,7355.53,Yes,0.6325646101985126,0.32207991090073784,0.5522863329512163,0.7365549125017411
SHIP100245,Chennai,Mumbai,Dtdc,Road,516.1,28.83,5.81,5311.41,Yes,0.5309005297233668,0.12914752424706483,0.5410775697363392,0.5224703582563817
SHIP100367,Delhi,Bangalore,Xpressbees,Air,723.8,171.19,6.78,7716.32,Yes,0.7531703140885013,0.7897814283725463,0.6399184817220736,0.7743411316699815
SHIP100057,Bangalore,Bangalore,Xpressbees,Road,282.0,101.49,2.26,4308.19,Yes,0.2803788324682969,0.4663325444336164,0.17934021143803333,0.41740122997133483
SHIP100497,Bangalore,Chennai,Ekart,Air,541.6,23.37,5.81,4184.99,Yes,0.558189309219327,0.10380992157408696,0.5410775697363392,0.4044982609269401
SHIP100062,Mumbai,Pune,Xpressbees,Road,203.1,77.53,3.85,3118.54,Yes,0.1959441382631495,0.3551440902130029,0.34135778881671125,0.29280693513639755
SHIP100381,Chennai,Bangalore,Bluedart,Rail,364.5,136.07,5.93,4765.17,Yes,0.3686660602493446,0.6268040280291428,0.553305311425296,0.465261609792013
SHIP100111,Pune,Chennai,Bluedart,Road,643.1,27.09,8.44,6296.3,No,0.6668093530954039,0.12107290361501694,0.8090689084193096,0.6256197509685082
SHIP100084,Chennai,Delhi,Dtdc,Air,384.2,25.09,5.36,4059.42,Yes,0.38974798009524325,0.111791730474732,0.49522353840275124,0.3913470772994672
SHIP100200,Bangalore,Bangalore,Xpressbees,Air,244.5,79.68,3.79,3019.74,Yes,0.24024827438600252,0.36512135133880924,0.3352439179722328,0.2824594242468991
SHIP100146,Hyderabad,Kolkata,Delhivery,Air,585.6,68.23,8.06,5449.82,No,0.6052758307025524,0.311986635110678,0.7703477264042797,0.5369662993719229
SHIP100188,Bangalore,Pune,Dtdc,Road,634.3,111.9,7.6,5792.37,Yes,0.6573920487987587,0.5146410506287995,0.7234747165966118,0.5728422088374865
SHIP100129,Bangalore,Mumbai,Ekart,Road,582.3,65.38,7.11,5783.82,Yes,0.6017443415913105,0.2987609633857719,0.6735447713667049,0.5719467511643569
SHIP100326,Mumbai,Mumbai,Xpressbees,Road,278.1,119.07,4.42,5136.31,Yes,0.2762052544277383,0.5479140563367209,0.3994395618392561,0.5041318040382523
SHIP100096,Hyderabad,Mumbai,Delhivery,Air,194.1,40.45,3.13,2147.09,Yes,0.18631280432339883,0.18307114019212029,0.2679913386829703,0.19106513904729586
SHIP100216,Chennai,Pune,Ekart,Road,789.2,62.77,7.23,7894.77,Yes,0.8231580073840229,0.2866490324377001,0.6857725130556617,0.7930305377249511
SHIP100258,Hyderabad,Hyderabad,Xpressbees,Air,168.7,88.58,2.12,2959.31,Yes,0.1591310396489914,0.40642257181307717,0.1650745128009171,0.27613047603786683
SHIP100471,Pune,Mumbai,Bluedart,Air,435.0,123.1,5.16,4643.74,Yes,0.4441115094440581,0.566615620214395,0.47484396892115655,0.45254401619573975
SHIP100141,Bangalore,Bangalore,Ekart,Road,756.4,92.04,9.41,7940.81,No,0.7880571459147093,0.4224790013457701,0.9079098204050439,0.797852394013944
SHIP100456,Mumbai,Pune,Dtdc,Rail,840.8,81.45,7.66,7989.62,Yes,0.8783776553052599,0.3733351895679614,0.7295885874410902,0.8029643576426527
SHIP100220,Mumbai,Kolkata,Delhivery,Air,475.4,70.26,5.11,5469.48,Yes,0.4873454973513832,0.3214070258480672,0.46974907655075787,0.5390253283606632
SHIP100319,Mumbai,Pune,Ekart,Road,603.5,56.74,8.29,5949.61,No,0.624431483760501,0.25866629541974107,0.7937842313081135,0.5893102514717449
SHIP100162,Hyderabad,Pune,Xpressbees,Road,425.9,216.49,3.67,6636.16,Yes,0.4343731606827546,1.0,0.323016176283276,0.6612139316456837
SHIP100217,Bangalore,Mumbai,Bluedart,Road,727.8,111.22,8.1,7085.66,Yes,0.7574509069506128,0.5114854517611026,0.7744236403005985,0.7082909169172378
SHIP100316,Pune,Chennai,Bluedart,Rail,369.5,18.53,2.92,3206.27,Yes,0.37401680132698384,0.08134948257459743,0.24659279072729587,0.30199506398594916
SHIP100239,Pune,Chennai,Bluedart,Road,670.8,82.06,6.77,7482.09,Yes,0.6964524586655253,0.37616594737574827,0.6388995032479938,0.7498097807018923
SHIP100243,Chennai,Pune,Bluedart,Air,301.2,92.48,3.11,4167.0,Yes,0.3009256782064316,0.4245208594366328,0.2659533817348108,0.40261413419716197
SHIP100081,Hyderabad,Chennai,Dtdc,Road,328.0,88.6,3.51,4699.15,Yes,0.32960565038257805,0.40651538354447997,0.3067125206980002,0.4583472103089696
SHIP100489,Mumbai,Kolkata,Delhivery,Road,453.8,106.56,5.01,5280.65,Yes,0.4642302958959817,0.4898603183442387,0.45955929180996047,0.5192488052709466
SHIP100473,Delhi,Bangalore,Delhivery,Road,586.8,140.43,7.5,6521.94,Yes,0.6065600085611857,0.647036985474964,0.7132849318558145,0.6492514549878039
