Shipment_ID,Origin_City,Destination_City,Carrier,Transport_Mode,Distance_KM,Weight_KG,Delivery_Time_Days,Shipping_Cost_INR,On_Time
SHIP100193,Mumbai,Hyderabad,XpressBees,Rail,449.4,71.82,5.48,5178.82,Yes
SHIP100206,PUNE,mumbai,BlueDart,Road,722.4,99.69,5.77,8327.71,Yes
SHIP100079,Hyderabad,Mumbai,XpressBees,Rail,314.4,50.98,4.89,3065.46,Yes
SHIP100028,bangalore,Kolkata,XpressBees,Road,380.1,23.76,3.14,3608.24,Yes
SHIP100491,bangalore,Bangalore,XpressBees,Road,439.1,59.58,3.35,3826.28,Yes
SHIP100499,Pune,Hyderabad,XpressBees,road,611.1,,5.92,7355.53,Yes
SHIP100245,Chennai,mumbai,DTDC,road,516.1,28.83,5.81,5311.41,Yes
SHIP100367,Delhi,Bangalore,XpressBees,Air,723.8,171.19,6.78,7716.32,Yes
SHIP100057,Bangalore,bangalore,XpressBees,road,282.0,101.49,2.26,4308.19,Yes
SHIP100497,bangalore,Chennai,Ekart,AIR,541.6,23.37,5.81,4184.99,Yes
SHIP100062,mumbai,Pune,XpressBees,Road,203.1,77.53,3.85,3118.54,Yes
SHIP100381,Chennai,Bangalore,BlueDart,Rail,364.5,136.07,5.93,4765.17,Yes
SHIP100111,Pune,Chennai,,Road,643.1,27.09,8.44,6296.3,No
SHIP100084,Chennai,Delhi,DTDC,Air,384.2,25.09,5.36,4059.42,Yes
SHIP100340,bangalore,bangalore,BlueDart,Rail,554.3,101.01,5.29,6622.83,Yes
SHIP100200,Bangalore,bangalore,XpressBees,Air,244.5,79.68,3.79,3019.74,Yes
SHIP100146,Hyderabad,Kolkata,Delhivery,Air,585.6,68.23,8.06,5449.82,No
SHIP100188,Bangalore,Pune,DTDC,road,634.3,111.9,7.6,5792.37,Yes
SHIP100129,bangalore,mumbai,Ekart,road,582.3,65.38,7.11,5783.82,Yes
SHIP100326,Mumbai,mumbai,XpressBees,road,278.1,119.07,4.42,,Yes
SHIP100096,Hyderabad,mumbai,Delhivery,Air,194.1,40.45,3.13,2147.09,Yes
SHIP100216,Chennai,Pune,Ekart,Road,789.2,62.77,7.23,7894.77,Yes
SHIP100258,Hyderabad,Hyderabad,XpressBees,Air,168.7,88.58,2.12,2959.31,Yes
SHIP100471,PUNE,Mumbai,BlueDart,AIR,435.0,123.1,5.16,4643.74,Yes
SHIP100141,bangalore,Bangalore,Ekart,Road,756.4,92.04,9.41,7940.81,No
SHIP100456,mumbai,PUNE,DTDC,Rail,840.8,81.45,7.66,7989.62,Yes
SHIP100220,Mumbai,Kolkata,Delhivery,Air,475.4,70.26,5.11,5469.48,Yes
SHIP100319,mumbai,Pune,Ekart,Road,603.5,56.74,8.29,5949.61,No
SHIP100162,Hyderabad,Pune,XpressBees,Road,425.9,221.73,3.67,6636.16,Yes
SHIP100217,bangalore,Mumbai,BlueDart,Road,727.8,111.22,8.1,7085.66,Yes
SHIP100316,Pune,Chennai,BlueDart,Rail,369.5,18.53,2.92,3206.27,Yes
SHIP100239,Pune,Chennai,BlueDart,Road,670.8,82.06,6.77,7482.09,Yes
SHIP100243,Chennai,Pune,BlueDart,AIR,301.2,92.48,3.11,4167.0,Yes
SHIP100081,Hyderabad,Chennai,DTDC,Road,328.0,88.6,3.51,4699.15,Yes
SHIP100489,mumbai,Kolkata,Delhivery,road,453.8,106.56,5.01,5280.65,Yes
SHIP100473,Delhi,Bangalore,Delhivery,Road,586.8,140.43,7.5,6521.94,Yes
SHIP100187,Kolkata,Bangalore,XpressBees,Road,667.5,84.68,6.1,5743.1,Yes
SHIP100427,Delhi,Chennai,DTDC,Air,257.8,94.66,5.13,4086.52,Yes
SHIP100267,PUNE,Bangalore,BlueDart,Air,659.7,31.32,6.76,5160.28,Yes
SHIP100179,Bangalore,Chennai,Delhivery,Air,677.3,41.13,7.28,5762.85,Yes
SHIP100292,PUNE,Pune,XpressBees,road,333.7,43.12,4.32,2951.73,Yes
SHIP100053,mumbai,Mumbai,Ekart,Rail,274.8,28.65,3.35,3018.85,Yes
SHIP100277,Pune,Chennai,DTDC,Air,383.9,36.07,4.09,3122.4,Yes
SHIP100139,PUNE,Chennai,Delhivery,Road,453.8,62.67,3.84,4991.24,Yes
SHIP100268,Mumbai,Chennai,Ekart,road,317.8,74.9,3.78,3205.28,Yes
SHIP100443,PUNE,Chennai,XpressBees,Rail,120.5,12.54,2.71,1082.56,Yes
SHIP100066,PUNE,Kolkata,BlueDart,road,329.6,132.94,3.79,4796.8,Yes
SHIP100412,Delhi,Bangalore,BlueDart,Road,583.0,54.0,4.95,5301.99,Yes
SHIP100494,Delhi,bangalore,Delhivery,Road,125.4,21.0,2.13,1283.11,Yes
SHIP100289,Mumbai,mumbai,DTDC,Rail,319.0,57.48,4.12,3798.14,Yes
SHIP100221,Hyderabad,Chennai,XpressBees,Rail,131.7,20.78,2.22,1217.27,Yes
SHIP100099,Chennai,Mumbai,Ekart,Road,404.9,65.03,3.78,4841.28,Yes
SHIP100278,Bangalore,Bangalore,Delhivery,Road,301.0,49.38,3.5,2731.42,Yes
SHIP100148,PUNE,Bangalore,Ekart,Road,682.2,207.52,5.25,8220.98,Yes
SHIP100015,Delhi,Kolkata,XpressBees,Road,94.4,128.17,3.48,2437.24,Yes
SHIP100163,PUNE,Delhi,BlueDart,Road,452.6,96.65,6.66,5345.79,Yes
SHIP100284,Bangalore,Chennai,Delhivery,road,24.7,10.53,2.38,324.42,Yes
SHIP100046,mumbai,Kolkata,BlueDart,road,351.7,21.64,3.5,2871.59,Yes
SHIP100086,Pune,Kolkata,Delhivery,Air,207.5,82.99,3.51,3004.13,Yes
SHIP100037,bangalore,Kolkata,Ekart,Road,618.2,113.92,8.57,6697.56,No
SHIP100416,Kolkata,Pune,XpressBees,Road,353.5,55.27,3.97,3928.31,Yes
SHIP100385,Kolkata,Delhi,Delhivery,Rail,799.0,135.04,8.59,7265.22,Yes
SHIP100342,PUNE,bangalore,XpressBees,Road,485.0,57.74,5.89,5268.97,Yes
SHIP100172,Delhi,Delhi,XpressBees,AIR,760.9,83.64,4.92,6309.24,Yes
SHIP100073,Delhi,Chennai,XpressBees,Rail,341.0,106.29,3.44,4689.47,Yes
SHIP100424,Kolkata,Kolkata,BlueDart,Road,594.0,60.53,4.13,5075.0,Yes
SHIP100104,Chennai,bangalore,BlueDart,Road,334.2,,4.32,4152.72,Yes
SHIP100213,PUNE,Chennai,XpressBees,Road,277.3,138.11,4.14,4924.96,Yes
SHIP100242,PUNE,Hyderabad,BlueDart,Road,292.0,9.16,,2253.22,Yes
SHIP100016,mumbai,Delhi,BlueDart,road,280.9,203.84,3.59,5393.95,Yes
SHIP100480,PUNE,PUNE,XpressBees,AIR,112.5,35.97,3.16,1481.96,Yes
SHIP100091,Mumbai,PUNE,Ekart,Road,546.6,88.89,6.24,5793.9,Yes
SHIP100088,Chennai,Bangalore,BlueDart,road,666.1,199.61,6.88,9150.25,Yes
SHIP100380,Mumbai,Mumbai,Delhivery,road,555.6,,5.73,5390.94,Yes
SHIP100140,Kolkata,Mumbai,DTDC,AIR,505.6,68.28,3.87,4773.0,Yes
SHIP100194,Bangalore,Mumbai,BlueDart,Road,419.4,23.24,4.42,4258.83,Yes
SHIP100205,PUNE,mumbai,DTDC,Rail,428.1,67.85,4.56,3944.2,Yes
SHIP100102,bangalore,Bangalore,Delhivery,Road,532.1,141.48,3.34,5616.28,Yes
SHIP100259,mumbai,Kolkata,Ekart,Rail,354.8,48.89,4.46,4052.16,Yes
SHIP100174,Chennai,Mumbai,Delhivery,Road,490.4,105.59,5.42,,Yes
SHIP100170,Pune,Pune,XpressBees,Rail,580.0,94.16,7.39,6408.15,Yes
SHIP100295,Mumbai,bangalore,DTDC,Rail,278.4,204.94,2.53,5207.53,Yes
SHIP100157,Pune,Bangalore,Delhivery,Rail,521.0,23.25,6.06,3904.45,Yes
SHIP100070,Chennai,mumbai,XpressBees,Air,572.0,86.63,6.71,6894.73,Yes
SHIP100133,Bangalore,mumbai,Delhivery,road,216.6,69.08,1.84,2657.77,Yes
SHIP100281,Bangalore,Chennai,Delhivery,Road,20.0,38.6,0.5,712.07,Yes
SHIP100304,Pune,Hyderabad,Delhivery,Road,417.5,20.41,4.16,4303.81,Yes
SHIP100372,PUNE,PUNE,DTDC,Air,287.3,47.14,3.47,2820.61,Yes
SHIP100273,bangalore,Chennai,BlueDart,Air,461.1,5.27,6.29,4305.7,Yes
SHIP100454,Chennai,PUNE,BlueDart,AIR,405.7,82.86,5.42,4657.65,Yes
SHIP100333,bangalore,Bangalore,XpressBees,road,531.4,40.14,6.65,5055.22,Yes
SHIP100270,PUNE,Kolkata,XpressBees,Road,486.1,155.01,5.44,6125.36,Yes
SHIP100346,Pune,Delhi,XpressBees,Road,480.3,70.59,5.77,4184.38,Yes
SHIP100458,mumbai,PUNE,XpressBees,Rail,472.2,67.74,4.68,4569.32,Yes
SHIP100018,Bangalore,Pune,BlueDart,Road,232.3,88.84,4.05,2867.21,Yes
SHIP100177,mumbai,Mumbai,Ekart,Road,133.1,1.0,5.04,1149.25,No
SHIP100387,Kolkata,Kolkata,XpressBees,Road,328.0,53.92,5.86,3402.2,No
SHIP100020,Delhi,PUNE,,Rail,725.5,80.91,7.44,7151.22,Yes
SHIP100055,PUNE,PUNE,BlueDart,Road,421.5,79.56,5.04,5008.36,Yes
SHIP100382,Pune,mumbai,Delhivery,Air,606.8,13.1,8.06,4308.97,Yes
SHIP100425,Kolkata,Hyderabad,XpressBees,Rail,159.1,105.25,1.76,2665.64,Yes
SHIP100361,Kolkata,Chennai,XpressBees,Rail,384.0,218.5,2.29,6885.19,Yes
SHIP100034,bangalore,bangalore,Delhivery,Air,620.9,61.3,58.46,6224.01,No
SHIP100181,Delhi,Chennai,XpressBees,Road,910.5,7.63,8.24,7675.54,Yes
SHIP100184,Pune,Kolkata,Ekart,Road,727.6,42.89,7.54,7002.78,Yes
SHIP100150,Pune,Mumbai,Ekart,AIR,425.1,25.72,5.97,4273.82,Yes
SHIP100207,Pune,Pune,DTDC,Road,563.5,,6.33,7625.66,Yes
SHIP100240,Pune,PUNE,BlueDart,AIR,432.0,65.48,6.18,4521.38,Yes
SHIP100365,Mumbai,Bangalore,Ekart,Air,392.0,124.77,2.28,4527.68,Yes
SHIP100370,PUNE,PUNE,Ekart,Road,522.7,114.71,5.26,7073.2,Yes
SHIP100296,Delhi,Delhi,Delhivery,road,472.1,15.58,5.53,4785.93,Yes
SHIP100097,bangalore,Hyderabad,DTDC,road,720.2,38.86,7.69,5553.6,Yes
SHIP100235,Delhi,bangalore,BlueDart,AIR,534.4,31.06,2.57,4912.88,Yes
SHIP100397,Bangalore,Chennai,Delhivery,Road,792.0,33.63,9.06,6840.51,Yes
SHIP100434,Kolkata,bangalore,XpressBees,Air,1808.5,67.69,16.95,17851.53,Yes
SHIP100154,Hyderabad,Mumbai,Delhivery,Road,345.5,83.54,5.8,4260.16,Yes
SHIP100122,Pune,Mumbai,Delhivery,road,604.9,66.94,5.99,6457.39,Yes
SHIP100113,Pune,PUNE,BlueDart,Road,298.9,42.69,3.67,2695.45,Yes
SHIP100280,Bangalore,bangalore,XpressBees,AIR,257.0,141.11,3.14,3639.06,Yes
SHIP100351,Bangalore,PUNE,BlueDart,Road,428.7,33.2,3.94,4364.65,Yes
SHIP100171,Mumbai,Mumbai,Delhivery,road,382.9,37.43,4.21,3695.73,Yes
SHIP100108,Bangalore,Bangalore,XpressBees,Air,725.1,80.9,6.72,8046.56,Yes
SHIP100078,Mumbai,Hyderabad,BlueDart,Road,455.8,76.36,5.29,4998.43,Yes
SHIP100094,bangalore,PUNE,DTDC,Road,629.3,16.48,5.91,5252.95,Yes
SHIP100061,Bangalore,Bangalore,Delhivery,Air,758.1,238.47,8.14,9809.31,Yes
SHIP100440,bangalore,,BlueDart,Road,20.0,182.0,1.98,2534.92,Yes
SHIP100467,mumbai,mumbai,XpressBees,Road,443.3,50.72,5.19,4757.19,Yes
SHIP100125,PUNE,Delhi,XpressBees,road,500.9,134.33,5.91,5542.83,Yes
SHIP100337,Hyderabad,bangalore,Ekart,AIR,627.4,107.28,7.43,6145.51,Yes
SHIP100310,Pune,,BlueDart,Air,470.4,82.27,4.53,4853.04,Yes
SHIP100487,Pune,Delhi,BlueDart,road,306.7,77.43,3.96,4111.21,Yes
SHIP100423,bangalore,Hyderabad,BlueDart,road,395.4,187.01,3.74,6095.32,Yes
SHIP100274,Pune,Mumbai,Delhivery,Road,527.2,24.83,5.16,5287.11,Yes
SHIP100410,Bangalore,Mumbai,Delhivery,road,542.4,137.39,6.59,7497.23,Yes
SHIP100024,Hyderabad,bangalore,BlueDart,Road,476.8,18.72,4.61,4200.78,Yes
SHIP100322,mumbai,Delhi,Delhivery,Air,2092.5,48.88,18.8,18015.65,Yes
SHIP100350,bangalore,mumbai,XpressBees,Rail,687.1,143.78,7.81,6599.73,Yes
SHIP100479,Hyderabad,Delhi,Delhivery,Rail,691.3,85.25,7.04,6206.28,Yes
SHIP100126,PUNE,PUNE,DTDC,Road,405.2,40.38,4.94,4469.2,Yes
SHIP100408,Pune,Pune,Ekart,Road,577.7,169.82,6.93,6604.18,Yes
SHIP100283,Pune,Kolkata,BlueDart,Rail,612.7,,6.95,6080.52,Yes
SHIP100178,mumbai,Mumbai,BlueDart,Air,175.4,172.65,2.31,4519.73,Yes
SHIP100436,Chennai,Hyderabad,XpressBees,Rail,625.5,122.82,5.72,7434.83,Yes
SHIP100450,Delhi,bangalore,XpressBees,AIR,745.2,63.54,8.16,7122.52,Yes
SHIP100223,mumbai,Kolkata,Delhivery,road,423.4,26.0,5.97,3589.62,Yes
SHIP100352,Pune,PUNE,BlueDart,Road,68.1,47.34,1.09,1418.7,Yes
SHIP100093,Kolkata,Pune,XpressBees,AIR,579.4,101.31,6.28,6346.02,Yes
SHIP100069,Hyderabad,Pune,Ekart,Road,778.7,61.48,8.05,7822.41,Yes
SHIP100036,Hyderabad,Hyderabad,DTDC,AIR,20.0,7.68,2.62,252.69,Yes
SHIP100160,Bangalore,Delhi,BlueDart,road,665.4,43.18,6.61,5117.05,Yes
SHIP100011,Chennai,Hyderabad,Ekart,road,545.3,65.15,5.86,5961.04,Yes
SHIP100144,Mumbai,Mumbai,XpressBees,Air,551.8,27.56,5.01,5653.33,Yes
SHIP100354,Kolkata,Bangalore,,Road,683.5,42.53,7.66,6338.04,Yes
SHIP100127,Delhi,Pune,XpressBees,road,739.3,42.63,6.34,5834.45,Yes
SHIP100421,Mumbai,Kolkata,Ekart,Rail,387.1,154.14,5.53,5116.47,Yes
SHIP100009,Delhi,Hyderabad,Delhivery,Air,416.3,53.73,4.33,3988.63,Yes
SHIP100375,Chennai,Kolkata,XpressBees,AIR,663.8,64.06,7.93,5782.7,Yes
SHIP100176,Mumbai,PUNE,Delhivery,AIR,194.7,90.21,4.79,2877.32,No
SHIP100231,Mumbai,,DTDC,AIR,769.0,69.87,9.78,6788.11,No
SHIP100210,Pune,Hyderabad,DTDC,Road,669.8,99.06,7.56,7148.16,Yes
SHIP100128,bangalore,Bangalore,DTDC,Rail,538.4,28.37,5.38,4029.08,Yes
SHIP100143,bangalore,mumbai,XpressBees,road,918.3,73.51,9.9,7744.57,Yes
SHIP100241,Pune,Chennai,BlueDart,AIR,413.3,,5.31,3796.03,Yes
SHIP100007,bangalore,Mumbai,XpressBees,Air,395.1,242.31,6.27,7483.35,Yes
SHIP100254,PUNE,Delhi,DTDC,Road,582.6,83.16,7.41,5536.72,Yes
SHIP100371,Bangalore,Mumbai,Ekart,Road,445.6,60.82,6.29,4511.44,Yes
